Denunciado(a) públicamente,Aplica a actores individuales y colectivos
Denunciado(a) judicialmente,Aplica a actores individuales y colectivos
Denunciado(a) administrativamente
Denunciado(a) ante organismo público de derechos humanos,Aplica a actores individuales y colectivos
Con recomendación de organismo público de derechos humanos,Aplica a actores individuales y colectivos
Bajo investigación administrativa
Bajo investigación administrativa y penal
Bajo investigación penal en detención,Arraigo
Bajo investigación penal en libertad
Bajo investigación civil,Aplica a actores individuales y colectivos
Bajo proceso administrativo
Bajo proceso administrativo y penal
Bajo proceso civil,Aplica a actores individuales y colectivos
Bajo proceso penal en libertad
Bajo proceso penal en detención
Sin sanción por sobreseimiento de proceso,Aplica a actores individuales y colectivos
Procesado(a) y absuelto(a),Aplica a actores individuales y colectivos
Procesado(a) y sancionado(a),Aplica a actores individuales y colectivos
Procesado(a) y sancionado(a) con apercibimiento
Procesado(a) y sancionado(a) con amonestación
Procesado(a) y sancionado(a) con destitución
Procesado(a) y sancionado(a) con suspensión
Procesado(a) y sancionado(a) con inhabilitación
Procesado(a) y sancionado(a) con multa,Aplica a actores individuales y colectivos
Procesado(a) y sancionado(a) con suspensión de registro,Aplica a actores colectivos
Procesado(a) y sancionado(a) con suspensión de derechos,Aplica a actores colectivos
Procesado(a) y sentenciado(a)
Beneficiado(a) por promoción o ascenso
Beneficiado(a) con prerrogativas,Aplica a actores colectivos
Transferido(a)
Sin consecuencia alguna,Aplica a actores individuales y colectivos
Muerto(a)
