Ninguna instrucción escolar
Preescolar
Primaria incompleta
Primaria completa
Secundaria incompleta
Secundaria completa
Preparatoria o bachillerato incompleto
Preparatoria o bachillerato completo
Normal
Carrera técnica o comercial
Profesional incompleta
Profesional
Maestría
Doctorado
