Asesoría legal
Asesoría política
Gestión para obtener información o ayuda
Canalización
Asistencia jurídica
Asistencia educativa
Asistencia médica
Asistencia de otro tipo
Asistencia financiera
Acción urgente
Boletín de prensa
Informe
Difusión (entrevistas medios comunicación, campañas, carteles, postales, página web)
Comunicación telefónica con autoridades
Comunicación escrita con autoridades
Comunicación personal con autoridades
Brigada de observación
Misión o delegación de investigación
Visita in situ de organismo intergubernamental de derechos hummanos
Medidas de protección ante organismo público de derechos humanos
Medidas de protección ante organismo intergubernamental de derechos humanos
Denuncia penal
Queja administrativa
Demanda laboral
Demanda agraria
Demanda civil
Demanda familiar
Litigio nacional
Solicitud de amparo
Litigio internacional
Comunicación con Relatores ONU
Comunicación con Relatores CIDH
Petición a otras ONG nacionales
Petición a otras ONG internacionales
Queja o petición ante organismo público de derechos humanos
Queja o petición ante organismo intergubernamental de derechos humanos
